Node,Step,Graph,Correlation
7,12,IG,0.36037498507822363
7,12,EG,0.7888106377466156
7,13,IG,0.36037498507822363
7,13,EG,0.7888106377466156
7,14,IG,0.36037498507822363
7,14,EG,0.7888106377466156
7,15,IG,0.36037498507822363
7,15,EG,0.7888106377466156
7,16,IG,0.36037498507822363
7,16,EG,0.7888106377466156
7,17,IG,0.36037498507822363
7,17,EG,0.7888106377466156
7,18,IG,0.36037498507822363
7,18,EG,0.7888106377466156
7,19,IG,0.36037498507822363
7,19,EG,0.7888106377466156
7,20,IG,0.36037498507822363
7,20,EG,0.7888106377466156
8,1,IG,0.6273643326097712
8,1,EG,0.6273643326097712
8,2,IG,0.7478392349220772
8,2,EG,0.6960840029128326
8,3,IG,0.5582905262390825
8,3,EG,0.7124125529281612
8,4,IG,0.3323470256441983
8,4,EG,0.5790975919299104
8,5,IG,0.23618874648666507
8,5,EG,0.5749595745760689
8,6,IG,0.1869598087305193
8,6,EG,0.6360850306188653
8,7,IG,0.1869598087305193
8,7,EG,0.6360850306188653
8,8,IG,0.14559760212430364
8,8,EG,0.597831933907223
8,9,IG,0.1461550933869503
8,9,EG,0.6066559175382976
8,10,IG,0.1461550933869503
8,10,EG,0.6066559175382976
8,11,IG,0.1461550933869503
8,11,EG,0.6066559175382976
8,12,IG,0.1461550933869503
8,12,EG,0.6066559175382976
8,13,IG,0.1461550933869503
8,13,EG,0.6066559175382976
8,14,IG,0.1461550933869503
8,14,EG,0.6066559175382976
8,15,IG,0.1461550933869503
8,15,EG,0.6066559175382976
8,16,IG,0.1461550933869503
8,16,EG,0.6066559175382976
8,17,IG,0.1461550933869503
8,17,EG,0.6066559175382976
8,18,IG,0.1461550933869503
8,18,EG,0.6066559175382976
8,19,IG,0.1461550933869503
8,19,EG,0.6066559175382976
8,20,IG,0.1461550933869503
8,20,EG,0.6066559175382976
9,1,IG,0.9140257315714276
9,1,EG,0.8328690689874064
9,2,IG,0.6206330027718892
9,2,EG,0.6502100840336135
9,3,IG,0.3453755843058285
9,3,EG,0.5002377688501177
9,4,IG,0.2705390178265438
9,4,EG,0.4421888996316092
9,5,IG,0.2853263503205507
9,5,EG,0.5153508439877237
9,6,IG,0.44833884361763476
9,6,EG,0.6960022162020524
9,7,IG,0.43410688464611547
9,7,EG,0.6283924945922791
9,8,IG,0.39793131092560585
9,8,EG,0.5774417517874998
9,9,IG,0.41641892401729336
9,9,EG,0.5997188164213306
9,10,IG,0.41641892401729336
9,10,EG,0.5997188164213306
9,11,IG,0.41641892401729336
9,11,EG,0.5997188164213306
9,12,IG,0.41641892401729336
9,12,EG,0.5997188164213306
9,13,IG,0.41641892401729336
9,13,EG,0.5997188164213306
9,14,IG,0.41641892401729336
9,14,EG,0.5997188164213306
9,15,IG,0.41641892401729336
9,15,EG,0.5997188164213306
9,16,IG,0.41641892401729336
9,16,EG,0.5997188164213306
9,17,IG,0.41641892401729336
9,17,EG,0.5997188164213306
9,18,IG,0.41641892401729336
9,18,EG,0.5997188164213306
9,19,IG,0.41641892401729336
9,19,EG,0.5997188164213306
9,20,IG,0.41641892401729336
9,20,EG,0.5997188164213306
10,1,IG,0.9999999999999999
10,1,EG,0.9999999999999999
10,2,IG,0.8401680504168058
10,2,EG,0.7705882352941176
10,3,IG,0.5557189302262112
10,3,EG,0.8635364422916818
10,4,IG,0.35877686197055475
10,4,EG,0.7889737196061071
10,5,IG,0.2974820586543648
10,5,EG,0.7747224358715119
10,6,IG,0.29880715233359845
10,6,EG,0.7851839029602492
10,7,IG,0.29880715233359845
10,7,EG,0.7851839029602492
10,8,IG,0.29880715233359845
10,8,EG,0.7851839029602492
10,9,IG,0.29880715233359845
10,9,EG,0.7851839029602492
10,10,IG,0.29880715233359845
10,10,EG,0.7851839029602492
10,11,IG,0.29880715233359845
10,11,EG,0.7851839029602492
10,12,IG,0.29880715233359845
10,12,EG,0.7851839029602492
10,13,IG,0.29880715233359845
10,13,EG,0.7851839029602492
10,14,IG,0.29880715233359845
10,14,EG,0.7851839029602492
10,15,IG,0.29880715233359845
10,15,EG,0.7851839029602492
10,16,IG,0.29880715233359845
10,16,EG,0.7851839029602492
10,17,IG,0.29880715233359845
10,17,EG,0.7851839029602492
10,18,IG,0.29880715233359845
10,18,EG,0.7851839029602492
10,19,IG,0.29880715233359845
10,19,EG,0.7851839029602492
10,20,IG,0.29880715233359845
10,20,EG,0.7851839029602492
